created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-10 07:52:19 UTC,1,10.0,1.0,144.0,0.01,25.32,61.16,-876.0,24.42
2018-04-10 12:21:55 UTC,2,2.0,0.0,28.0,-0.0,25.07,59.53,-1084.0,24.26
2018-04-10 12:31:55 UTC,3,125.0,40.0,1685.0,0.05,21.44,67.86,-540.0,21.71
2018-04-10 12:41:56 UTC,4,105.0,33.0,1419.0,0.05,22.16,66.78,-540.0,21.77
2018-04-10 12:51:55 UTC,5,174.0,55.0,2349.0,0.09,21.5,69.54,-540.0,21.77
2018-04-10 13:01:55 UTC,6,314.0,109.0,4177.0,0.13,21.56,69.23,-540.0,21.82
2018-04-10 13:11:54 UTC,7,377.0,140.0,4932.0,0.13,21.72,68.79,-541.0,21.77
2018-04-10 13:21:54 UTC,8,622.0,239.0,8065.0,0.17,21.25,70.81,-540.0,21.71
2018-04-10 13:31:54 UTC,9,707.0,276.0,9128.0,0.25,21.77,69.36,-539.0,21.66
2018-04-10 13:41:53 UTC,10,719.0,281.0,9280.0,0.25,21.7,69.34,-539.0,21.66
2018-04-10 13:51:53 UTC,11,777.0,306.0,10008.0,0.25,21.5,69.51,-539.0,21.66
2018-04-10 14:01:52 UTC,12,753.0,294.0,9721.0,0.25,21.72,69.47,-538.0,21.66
2018-04-10 14:11:52 UTC,13,920.0,358.0,11888.0,0.33,22.17,68.71,-538.0,21.66
2018-04-10 14:21:52 UTC,14,1037.0,404.0,13396.0,0.33,22.08,69.34,-537.0,21.71
2018-04-10 14:31:52 UTC,15,1114.0,438.0,14354.0,0.37,21.33,71.82,-536.0,21.77
2018-04-10 14:41:52 UTC,16,645.0,266.0,8199.0,0.21,21.91,69.89,-535.0,21.77
2018-04-10 14:51:52 UTC,17,808.0,338.0,10228.0,0.25,20.72,73.1,-535.0,21.82
2018-04-10 15:01:52 UTC,18,1275.0,521.0,16251.0,0.41,21.98,68.72,-535.0,21.82
2018-04-10 15:11:52 UTC,19,1255.0,508.0,16040.0,0.37,21.76,69.36,-536.0,21.88
2018-04-10 15:21:52 UTC,20,1196.0,485.0,15278.0,0.37,21.88,69.27,-532.0,21.93
2018-04-10 15:31:52 UTC,21,995.0,427.0,12498.0,0.29,21.56,71.32,-533.0,21.93
2018-04-10 15:41:52 UTC,22,1946.0,801.0,24751.0,0.58,22.4,68.27,-532.0,21.98
2018-04-10 15:51:53 UTC,23,2474.0,1007.0,31569.0,0.73,22.66,67.73,-531.0,22.04
2018-04-10 16:01:53 UTC,24,2667.0,1060.0,31569.0,0.78,22.95,66.49,-530.0,22.09
2018-04-10 16:11:55 UTC,25,2115.0,871.0,26897.0,0.59,22.97,64.88,-529.0,22.15
2018-04-10 16:21:56 UTC,26,1946.0,799.0,24769.0,0.54,23.67,64.37,-528.0,22.2
2018-04-10 16:31:57 UTC,27,2134.0,855.0,27353.0,0.62,23.49,64.49,-527.0,22.25
2018-04-10 16:41:59 UTC,28,1831.0,742.0,23394.0,0.55,23.13,64.88,-526.0,22.31
2018-04-10 16:52:00 UTC,29,1913.0,770.0,24489.0,0.58,23.15,64.67,-524.0,22.36
2018-04-10 17:02:01 UTC,30,2236.0,912.0,28515.0,0.67,23.09,65.39,-524.0,22.42
2018-04-10 17:12:04 UTC,31,2298.0,940.0,29281.0,0.64,23.01,65.89,-523.0,22.47
2018-04-10 17:22:05 UTC,32,2167.0,888.0,27598.0,0.6,23.97,64.18,-522.0,22.52
2018-04-10 17:32:07 UTC,33,2595.0,1070.0,27598.0,0.74,23.03,64.15,-522.0,22.58
2018-04-10 17:42:08 UTC,34,3266.0,1670.0,27598.0,1.22,24.56,61.71,-520.0,22.69
2018-04-10 17:52:11 UTC,35,3405.0,1531.0,27598.0,1.09,24.62,61.41,-519.0,22.74
2018-04-10 18:02:14 UTC,36,3110.0,1826.0,27598.0,1.25,24.78,61.24,-517.0,22.9
2018-04-10 18:12:18 UTC,37,3263.0,1272.0,27598.0,0.91,23.96,64.48,-514.0,22.96
